id,nome,sexo,idade,tipo_conta,funcionario,salario,saldo_conta,credito_imobiliario,emprestimo,cluster
1,Malik Tavares,1,33,1,1,15000.0,2500.0,1,1,1
2,Alberto Juramento,1,21,1,1,2000.0,2000.0,0,1,2
3,Jacinto Patricio,1,23,1,1,50000.0,20000.0,0,0,1
4,Naiara Luz,2,28,2,1,30000.0,25000.0,1,0,0
5,Manuela Perreira,2,31,2,1,10000.0,20000.0,0,0,0
6,Laura Lee,2,20,2,1,50000.0,10000.0,1,1,2
7,jacinta salema,2,31,1,0,0.0,0.0,0,0,1
8,Adriano Menezes,1,34,2,1,25000.0,15000.0,1,1,0
9,Susana Borges,2,26,2,1,35000.0,30000.0,1,0,0
10,Marcelo Silva,1,29,1,1,18000.0,8000.0,0,1,1
11,Beatriz Ribeiro,2,35,1,1,40000.0,20000.0,1,0,1
12,Ricardo Nunes,1,27,1,1,28000.0,10000.0,0,1,1
13,Helena Costa,2,24,2,1,30000.0,15000.0,1,1,2
14,Andreia Sousa,2,22,2,1,20000.0,10000.0,0,0,2
15,Rui Santos,1,33,1,1,15000.0,5000.0,1,0,1
16,Sara Oliveira,2,30,1,1,22000.0,18000.0,0,1,1
17,João Pereira,1,32,2,1,38000.0,30000.0,1,0,0
18,Carla Almeida,2,29,2,1,25000.0,20000.0,0,1,0
19,Hugo Fernandes,1,27,1,1,20000.0,10000.0,1,0,1
20,Marta Carvalho,2,28,1,1,30000.0,25000.0,0,1,1
21,Diogo Costa,1,31,2,1,35000.0,20000.0,1,0,0
22,Luisa Fernandes,2,26,2,1,28000.0,15000.0,0,0,2
23,Antonio Ribeiro,1,25,1,1,18000.0,8000.0,1,0,2
24,Sofia Mendes,2,24,2,1,22000.0,20000.0,0,1,2
25,Paulo Cardoso,1,34,1,1,40000.0,30000.0,1,1,1
26,Ana Martins,2,35,1,1,45000.0,40000.0,0,0,1
27,Rui Pereira,1,32,2,1,38000.0,25000.0,1,0,0
28,Maria Gonçalves,2,29,2,1,25000.0,18000.0,0,1,0
29,Fernando Sousa,1,27,1,1,28000.0,20000.0,1,1,1
30,Carolina Pinto,2,26,2,1,28000.0,15000.0,0,0,2
31,Jorge Oliveira,1,24,1,1,22000.0,10000.0,1,0,2
32,Catarina Santos,2,25,1,1,18000.0,8000.0,0,1,2
33,Luís Mendes,1,34,2,1,40000.0,25000.0,1,0,0
34,Andreia Rodrigues,2,35,2,1,45000.0,40000.0,0,1,0
35,João Silva,1,32,1,1,38000.0,20000.0,1,0,1
36,Sara Costa,2,29,1,1,25000.0,18000.0,0,1,1
37,Diogo Marques,1,28,2,1,30000.0,15000.0,1,0,0
38,Ana Sousa,2,27,2,1,28000.0,20000.0,0,1,0
39,Luisa Santos,1,24,1,1,22000.0,10000.0,1,1,2
40,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
41,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
42,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
43,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
44,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
45,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
46,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
47,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
48,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
49,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
50,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
51,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
52,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
53,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
54,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
55,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
56,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
57,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
58,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
59,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
60,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
61,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
62,Andreia Ferreira,2,26,1,1,28000.0,20000.0,0,0,1
63,Rui Sousa,1,24,2,1,22000.0,10000.0,1,1,2
64,Ana Silva,2,25,2,1,18000.0,8000.0,0,0,2
65,Luís Rodrigues,1,34,1,1,40000.0,25000.0,1,1,1
66,Carla Martins,2,35,1,1,45000.0,40000.0,0,0,1
67,João Costa,1,32,2,1,38000.0,20000.0,1,1,0
68,Maria Pereira,2,29,2,1,25000.0,18000.0,0,0,0
69,Fernando Costa,1,27,1,1,28000.0,15000.0,1,1,1
70,Andreia Sousa,2,26,1,1,28000.0,20000.0,0,0,1
71,Luisa Santos,1,24,2,1,22000.0,10000.0,1,1,2
72,Marta Ferreira,2,25,2,1,18000.0,8000.0,0,0,2
73,Rui Martins,1,34,1,1,40000.0,25000.0,1,1,1
74,Beatriz Costa,2,35,1,1,45000.0,40000.0,0,0,1
75,João Oliveira,1,32,2,1,38000.0,20000.0,1,1,0
76,Carolina Santos,2,29,2,1,25000.0,18000.0,0,0,0
77,Manuel Silva,1,27,1,1,28000.0,15000.0,1,1,1
